time,ǰ40,ǰ39,ǰ38,ǰ37,ǰ36,ǰ35,ǰ34,ǰ33,ǰ32,ǰ31,ǰ30,ǰ29,ǰ28,ǰ27,ǰ26,ǰ25,ǰ24,ǰ23,ǰ22,ǰ21,ǰ20,ǰ19,ǰ18,ǰ17,ǰ16,ǰ15,ǰ14,ǰ13,ǰ12,ǰ11,ǰ10,ǰ9,ǰ8,ǰ7,ǰ6,ǰ5,ǰ4,ǰ3,ǰ2,ǰ1,��ǰ
2021-06-18T05:10:00.000Z,37942.4609111734029813,37927.0314385649585861,37935.4558813994067239,37916.1654772579230312,37942.5151004535901569,37962.7050330068936792,37961.8378266144156590,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157
2021-06-18T05:11:00.000Z,37927.0314385649585861,37935.4558813994067239,37916.1654772579230312,37942.5151004535901569,37962.7050330068936792,37961.8378266144156590,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310
2021-06-18T05:12:00.000Z,37935.4558813994067239,37916.1654772579230312,37942.5151004535901569,37962.7050330068936792,37961.8378266144156590,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762
2021-06-18T05:13:00.000Z,37916.1654772579230312,37942.5151004535901569,37962.7050330068936792,37961.8378266144156590,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762,37920.3587358795384853
2021-06-18T05:14:00.000Z,37942.5151004535901569,37962.7050330068936792,37961.8378266144156590,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762,37920.3587358795384853,37916.1216257940972779
2021-06-18T05:15:00.000Z,37962.7050330068936792,37961.8378266144156590,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762,37920.3587358795384853,37916.1216257940972779,37918.1154499233728487
2021-06-18T05:16:00.000Z,37961.8378266144156590,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762,37920.3587358795384853,37916.1216257940972779,37918.1154499233728487,37891.5988331023397124
2021-06-18T05:17:00.000Z,37980.6100143243408315,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762,37920.3587358795384853,37916.1216257940972779,37918.1154499233728487,37891.5988331023397124,37902.0777576542972483
2021-06-18T05:18:00.000Z,37986.1474566861018079,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762,37920.3587358795384853,37916.1216257940972779,37918.1154499233728487,37891.5988331023397124,37902.0777576542972483,37935.2803865612307547
2021-06-18T05:19:00.000Z,37995.5717731938314551,38053.9289961056257591,38035.7565239780812468,38046.1502365092019714,38050.8865755902963353,38035.4002756307172486,38059.2194550311976004,38028.2584186303596411,38039.2558539386185375,38017.1857947281366723,38017.5345994316015898,38008.4953919724009867,38017.0988975561511054,38031.8404893666163843,38023.3949810369179026,38040.6801817834984234,38030.2375585276052349,38025.3738692304669114,38035.3233227309713552,38007.5535785082890390,38014.6118248111223979,37988.0795797952287274,37978.6452721341065124,37952.6937934302176887,37943.0067195447181971,37919.4920315974881708,37925.9909298611226886,37901.4095880264646418,37905.5581726499638915,37904.0950771974750237,37903.5121615553123256,37905.2455200888016157,37905.2271756740070310,37910.2368342224487762,37920.3587358795384853,37916.1216257940972779,37918.1154499233728487,37891.5988331023397124,37902.0777576542972483,37935.2803865612307547,37951.9294358971852163
