time,ǰ40,ǰ39,ǰ38,ǰ37,ǰ36,ǰ35,ǰ34,ǰ33,ǰ32,ǰ31,ǰ30,ǰ29,ǰ28,ǰ27,ǰ26,ǰ25,ǰ24,ǰ23,ǰ22,ǰ21,ǰ20,ǰ19,ǰ18,ǰ17,ǰ16,ǰ15,ǰ14,ǰ13,ǰ12,ǰ11,ǰ10,ǰ9,ǰ8,ǰ7,ǰ6,ǰ5,ǰ4,ǰ3,ǰ2,ǰ1
2021-06-18T23:50:00.000Z,35533.6431499891547538,35525.9764484491274439,35535.3812712518255482,35540.7015119152130579,35557.3465591911604266,35536.6348311764662350,35525.2190719666525306,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587
2021-06-18T23:51:00.000Z,35525.9764484491274439,35535.3812712518255482,35540.7015119152130579,35557.3465591911604266,35536.6348311764662350,35525.2190719666525306,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572
2021-06-18T23:52:00.000Z,35535.3812712518255482,35540.7015119152130579,35557.3465591911604266,35536.6348311764662350,35525.2190719666525306,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421
2021-06-18T23:53:00.000Z,35540.7015119152130579,35557.3465591911604266,35536.6348311764662350,35525.2190719666525306,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421,35770.1270570955731973
2021-06-18T23:54:00.000Z,35557.3465591911604266,35536.6348311764662350,35525.2190719666525306,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421,35770.1270570955731973,35745.3409651933160867
2021-06-18T23:55:00.000Z,35536.6348311764662350,35525.2190719666525306,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421,35770.1270570955731973,35745.3409651933160867,35730.2785316982449459
2021-06-18T23:56:00.000Z,35525.2190719666525306,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421,35770.1270570955731973,35745.3409651933160867,35730.2785316982449459,35726.6863077134908954
2021-06-18T23:57:00.000Z,35517.2824812110388265,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421,35770.1270570955731973,35745.3409651933160867,35730.2785316982449459,35726.6863077134908954,35704.4882093523026422
2021-06-18T23:58:00.000Z,35505.2615256317824613,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421,35770.1270570955731973,35745.3409651933160867,35730.2785316982449459,35726.6863077134908954,35704.4882093523026422,35687.4248734726025824
2021-06-18T23:59:00.000Z,35501.5796967589164096,35492.4089653080896243,35480.7025535789978182,35482.6659289935135096,35509.5212865895015964,35541.6773419424582299,35549.0896693889634379,35562.1819008600186896,35574.2644093795561166,35591.2946398145156205,35615.9069269076975988,35638.9167415560895427,35656.3020116376241580,35666.0043487410365695,35727.2942866444208206,35757.1666879485321557,35785.7232400848692272,35790.4435970293363828,35799.7734441142490601,35813.3704615682893270,35820.2456411094169686,35830.5240018766567281,35882.2762435157902731,35866.0109235307694451,35869.7390619325503082,35865.0318828090913657,35865.6223514680961930,35863.2362572901274374,35862.3995261288983020,35858.1995789473136939,35834.9227284121787587,35817.6222458517334572,35801.6866281193749421,35770.1270570955731973,35745.3409651933160867,35730.2785316982449459,35726.6863077134908954,35704.4882093523026422,35687.4248734726025824,35715.7814956982132184
